Symbol,min_date,max_date,Close_min_date,Close_max_date,Return (%)
ELC,2023-12-27,2024-03-25,0.3400000035762787,23.15999984741211,6711.764589354243
MBRX,2023-12-26,2024-03-25,0.6480000019073486,5.086699962615967,684.9845598215393
CRBP,2023-12-26,2024-03-25,5.400000095367432,35.93000030517578,565.3703642709103
FNGD,2023-12-26,2024-03-25,5.699999809265137,35.349998474121094,520.1754325791554
DAVE,2023-12-26,2024-03-25,8.210000038146973,39.369998931884766,379.5371345792432
EQ,2023-12-26,2024-03-25,0.6299999952316284,2.512200117111206,298.7619263691518
BYSI,2023-12-26,2024-03-25,0.9089999794960022,3.3399999141693115,267.43674252019065
VKTX,2023-12-26,2024-03-25,19.139999389648438,69.19000244140625,261.4942771566992
FGEN,2023-12-26,2024-03-25,0.7979999780654907,2.7100000381469727,239.59901160856506
APM,2023-12-26,2024-03-25,2.3299999237060547,7.570000171661377,224.89272186844863
XTLB,2023-12-26,2024-03-25,0.9100000262260437,2.809999942779541,208.7911936039371
MSTR,2023-12-26,2024-03-25,603.8900146484375,1846.72998046875,205.8056824376949
SRAX,2023-12-26,2024-03-25,0.029999999329447746,0.09000000357627869,200.0000186264519
BCLI,2023-12-26,2024-03-25,0.23000000417232513,0.6322000026702881,174.86956139210272
LTRPA,2023-12-26,2024-03-25,0.6899999976158142,1.8200000524520874,163.7681244551898
PHUN,2023-12-26,2024-03-25,3.9000000953674316,10.020000457763672,156.92308237801865
CDXC,2023-12-26,2024-03-25,1.4600000381469727,3.7392001152038574,156.10959024012342
VTVT,2023-12-26,2024-03-25,8.600000381469727,21.59000015258789,151.0465022665289
AEYE,2023-12-26,2024-03-25,4.489999771118164,11.229999542236328,150.11136112908247
ADAP,2023-12-26,2024-03-25,0.5839999914169312,1.4600000381469727,150.00001020627494
TCON,2023-12-26,2024-03-25,0.1850000023841858,0.46000000834465027,148.64864995481324
VERI,2023-12-26,2024-03-25,2.0399999618530273,5.010000228881836,145.5882511061921
ENTX,2023-12-26,2024-03-25,0.652999997138977,1.5999000072479248,145.0076591512481
DRRX,2023-12-26,2024-03-25,0.5099999904632568,1.2301000356674194,141.1960899352296
ADES,2023-12-26,2024-03-22,2.619999885559082,6.239999771118164,138.16794059846342
SBNY,2023-12-26,2024-03-25,0.9000999927520752,2.140000104904175,137.7513745290763
DTSS,2023-12-26,2024-03-25,3.0,7.039999961853027,134.6666653951009
AIHS,2023-12-26,2024-03-25,0.42100000381469727,0.9768999814987183,132.042748847266
EDUC,2023-12-26,2024-03-25,0.9399999976158142,2.140000104904175,127.65958620553218
SG,2023-12-26,2024-03-25,11.5,25.600000381469727,122.60869896930198
SLDB,2023-12-26,2024-03-25,6.179999828338623,13.579999923706055,119.74110519282624
RGLS,2023-12-26,2024-03-25,1.2899999618530273,2.819999933242798,118.60465245223682
CLRO,2023-12-26,2024-03-25,0.8399999737739563,1.8350000381469727,118.45239231409434
CSPI,2023-12-26,2024-03-25,10.063830375671387,21.674999237060547,115.37524409650581
ATOS,2023-12-26,2024-03-25,0.8399999737739563,1.805299997329712,114.91667305879196
OCUL,2023-12-26,2024-03-25,4.389999866485596,9.40999984741211,114.35080030982468
YMAB,2023-12-26,2024-03-25,7.420000076293945,15.710000038146973,111.7250657225548
IDN,2023-12-26,2024-03-25,1.8899999856948853,3.930000066757202,107.93651304247402
PXLW,2023-12-26,2024-03-25,1.3700000047683716,2.819999933242798,105.8394104691686
MTC,2023-12-26,2024-03-25,0.949999988079071,1.9499000310897827,105.25263742713724
VXRT,2023-12-26,2024-03-25,0.6000000238418579,1.2300000190734863,104.99999503294646
AQST,2023-12-26,2024-03-25,2.0,4.09499979019165,104.74998950958252
SEED,2023-12-26,2024-03-25,1.9500000476837158,3.990000009536743,104.61538010095009
MRSN,2023-12-26,2024-03-25,2.180000066757202,4.425000190734863,102.98165390963258
KOD,2023-12-26,2024-03-25,3.0399999618530273,6.114999771118164,101.15131078458222
CDLX,2023-12-26,2024-03-25,9.319999694824219,18.739999771118164,101.07296550154676
AXTI,2023-12-26,2024-03-25,2.4800000190734863,4.985000133514404,101.008068353837
YRIV,2023-12-26,2024-03-25,9.999999747378752e-05,0.00019999999494757503,100.0
ORGS,2023-12-26,2024-03-25,0.44999998807907104,0.8989999890327454,99.77778063291393
INO,2023-12-26,2024-03-25,6.239999771118164,12.270000457763672,96.6346299330869
MOR,2023-12-26,2024-03-25,9.300000190734863,18.170000076293945,95.3763408993887
QBAK,2023-12-26,2024-03-22,3.25,6.309999942779541,94.15384439321664
ALPN,2023-12-26,2024-03-25,20.219999313354492,38.99250030517578,92.84125434872202
NVDA,2023-12-26,2024-03-25,492.76690673828125,950.02001953125,92.79298316106795
ORN,2023-12-26,2024-03-25,4.860000133514404,9.345000267028809,92.28395082926002
XBIT,2023-12-26,2024-03-25,3.930000066757202,7.489999771118164,90.58523266892608
ESTA,2023-12-26,2024-03-25,25.3700008392334,48.27989959716797,90.30310603106324
KAMN,2023-12-26,2024-03-25,24.144359588623047,45.7599983215332,89.52666006140649
USD,2023-12-26,2024-03-25,54.83000183105469,103.51000213623047,88.7835102671916
FLXS,2023-12-26,2024-03-25,18.970001220703125,35.75,88.45544385618612
LEE,2023-12-26,2024-03-25,8.130000114440918,15.230299949645996,87.33456008928174
VST,2023-12-26,2024-03-25,38.06855010986328,71.19999694824219,87.03101836756004
TAYD,2023-12-26,2024-03-25,23.5,43.95000076293945,87.02127984229554
ADVM,2023-12-26,2024-03-25,8.0,14.914999961853027,86.43749952316284
